dt,scheme,mean_error,rmse,log_dt,log_error
0.1,Euler,0.733262,0.957251,-2.30259,-0.310253
0.05,Euler,0.520685,0.668439,-2.99573,-0.65261
0.02,Euler,0.33578,0.430226,-3.91202,-1.0913
0.01,Euler,0.240412,0.305248,-4.60517,-1.4254
0.005,Euler,0.168477,0.214717,-5.29832,-1.78095
0.002,Euler,0.108153,0.138274,-6.21461,-2.22421
0.1,Milstein,0.0844824,0.115375,-2.30259,-2.47121
0.05,Milstein,0.043512,0.0583659,-2.99573,-3.13472
0.02,Milstein,0.0176446,0.0236623,-3.91202,-4.03732
0.01,Milstein,0.00893598,0.0119374,-4.60517,-4.71767
0.005,Milstein,0.004457,0.00590194,-5.29832,-5.41328
0.002,Milstein,0.00182127,0.00240817,-6.21461,-6.30822
